source_key,source_url,source_table,source_row,retrieved_at,Name | Introduced into service before 1947,Origin | Introduced into service before 1947,Primary role(s) | Introduced into service before 1947,Introduced | Introduced into service before 1947,Retired | Introduced into service before 1947,Count | Introduced into service before 1947,Notes | Introduced into service before 1947
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,56,2026-09-15T03:49:19Z,Percival Prentice T.3,United Kingdom,Basic trainer,1947,1963,62,[g]
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,57,2026-09-15T03:49:19Z,Sikorsky S-55,United States,Helicopter,1954,1966,8,[h]
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,58,2026-09-15T03:49:19Z,Sikorsky S-62B,United States,Helicopter,1960,1979,2,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,59,2026-09-15T03:49:19Z,Supermarine Spitfire PR.XI & XIX,United Kingdom,Reconnaissance,1947,1959,15,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,60,2026-09-15T03:49:19Z,Supermarine Spitfire T.IX,United Kingdom,Basic trainer,1947,1955,10,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,61,2026-09-15T03:49:19Z,Vickers Viscount,United Kingdom,Transport,1955,1971,2,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,62,2026-09-15T03:49:19Z,HAL Krishak,India,Liaison,1965,1988,68,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,63,2026-09-15T03:49:19Z,HAL Pushpak,India,Basic trainer,1965,1967,25,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,64,2026-09-15T03:49:19Z,Hawker Hunter F. Mk.56,United Kingdom,Fighter,1966,1992,55,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,65,2026-09-15T03:49:19Z,Sukhoi Su-7BMK/BKL,Soviet Union,Fighter-bomber,1968,1986,140,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,66,2026-09-15T03:49:19Z,Tupolev Tu-124,Soviet Union,Transport,1966,1981,3,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,67,2026-09-15T03:49:19Z,Introduced into service after 1971,Introduced into service after 1971,Introduced into service after 1971,Introduced into service after 1971,Introduced into service after 1971,Introduced into service after 1971,Introduced into service after 1971
