record_id,branch,domain,category,system_name,designation,variant,role_purpose,status,source_status,verification_status,verification_sources,status_as_of,commissioned_or_inducted_date,retired_or_decommissioned_date,quantity,quantity_min,quantity_max,quantity_raw,quantity_values,specifications,dimensions,make_manufacturer,country_of_origin,operators,notes,source_key,source_url,source_table,source_row,retrieved_at,raw_record
eq_29fdd758800b0b4ad221,Indian Navy,ships and submarines,Amphibious warfare ships,Mk. IV LCU,Not documented,Not documented,Not documented,in_service,Follow-on of the Mk. III LCU class.,not_independently_verified,[],2026-09-15,2018,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Follow-on of the Mk. III LCU class.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,12,2026-09-15T03:49:19Z,"{""Amphibious transport dock (1) | Boat"": ""INS LCU 53"", ""Amphibious transport dock (1) | Class"": ""Mk. IV LCU"", ""Amphibious transport dock (1) | Comm."": ""2018"", ""Amphibious transport dock (1) | Disp. (t)"": ""830"", ""Amphibious transport dock (1) | Homeport"": ""Sri Vijaya Puram"", ""Amphibious transport dock (1) | Image"": """", ""Amphibious transport dock (1) | No."": ""L53"", ""Amphibious transport dock (1) | Note"": ""Follow-on of the Mk. III LCU class."", ""Amphibious transport dock (1) | Origin"": ""India""}"
eq_7d9714482fa923b2372e,Indian Navy,ships and submarines,Amphibious warfare ships,Mk. IV LCU,Not documented,Not documented,Not documented,in_service,Follow-on of the Mk. III LCU class.,not_independently_verified,[],2026-09-15,2018,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Follow-on of the Mk. III LCU class.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,13,2026-09-15T03:49:19Z,"{""Amphibious transport dock (1) | Boat"": ""INS LCU 54"", ""Amphibious transport dock (1) | Class"": ""Mk. IV LCU"", ""Amphibious transport dock (1) | Comm."": ""2018"", ""Amphibious transport dock (1) | Disp. (t)"": ""830"", ""Amphibious transport dock (1) | Homeport"": ""Sri Vijaya Puram"", ""Amphibious transport dock (1) | Image"": """", ""Amphibious transport dock (1) | No."": ""L54"", ""Amphibious transport dock (1) | Note"": ""Follow-on of the Mk. III LCU class."", ""Amphibious transport dock (1) | Origin"": ""India""}"
eq_c5e1aeed4213c0322859,Indian Navy,ships and submarines,Amphibious warfare ships,Mk. IV LCU,Not documented,Not documented,Not documented,in_service,Follow-on of the Mk. III LCU class.,not_independently_verified,[],2026-09-15,2018,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Follow-on of the Mk. III LCU class.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,14,2026-09-15T03:49:19Z,"{""Amphibious transport dock (1) | Boat"": ""INS LCU 55"", ""Amphibious transport dock (1) | Class"": ""Mk. IV LCU"", ""Amphibious transport dock (1) | Comm."": ""2018"", ""Amphibious transport dock (1) | Disp. (t)"": ""830"", ""Amphibious transport dock (1) | Homeport"": ""Sri Vijaya Puram"", ""Amphibious transport dock (1) | Image"": """", ""Amphibious transport dock (1) | No."": ""L55"", ""Amphibious transport dock (1) | Note"": ""Follow-on of the Mk. III LCU class."", ""Amphibious transport dock (1) | Origin"": ""India""}"
eq_036fc532dd18f1c7c985,Indian Navy,ships and submarines,Amphibious warfare ships,Mk. IV LCU,Not documented,Not documented,Not documented,in_service,Follow-on of the Mk. III LCU class.,not_independently_verified,[],2026-09-15,2019,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Follow-on of the Mk. III LCU class.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,15,2026-09-15T03:49:19Z,"{""Amphibious transport dock (1) | Boat"": ""INS LCU 56"", ""Amphibious transport dock (1) | Class"": ""Mk. IV LCU"", ""Amphibious transport dock (1) | Comm."": ""2019"", ""Amphibious transport dock (1) | Disp. (t)"": ""830"", ""Amphibious transport dock (1) | Homeport"": ""Sri Vijaya Puram"", ""Amphibious transport dock (1) | Image"": """", ""Amphibious transport dock (1) | No."": ""L56"", ""Amphibious transport dock (1) | Note"": ""Follow-on of the Mk. III LCU class."", ""Amphibious transport dock (1) | Origin"": ""India""}"
eq_61532e93e2f761cafa72,Indian Navy,ships and submarines,Amphibious warfare ships,Mk. IV LCU,Not documented,Not documented,Not documented,in_service,Follow-on of the Mk. III LCU class.,not_independently_verified,[],2026-09-15,2020,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Follow-on of the Mk. III LCU class.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,16,2026-09-15T03:49:19Z,"{""Amphibious transport dock (1) | Boat"": ""INS LCU 57"", ""Amphibious transport dock (1) | Class"": ""Mk. IV LCU"", ""Amphibious transport dock (1) | Comm."": ""2020"", ""Amphibious transport dock (1) | Disp. (t)"": ""830"", ""Amphibious transport dock (1) | Homeport"": ""Sri Vijaya Puram"", ""Amphibious transport dock (1) | Image"": """", ""Amphibious transport dock (1) | No."": ""L57"", ""Amphibious transport dock (1) | Note"": ""Follow-on of the Mk. III LCU class."", ""Amphibious transport dock (1) | Origin"": ""India""}"
eq_3cf968b7c86af3ed627d,Indian Navy,ships and submarines,Amphibious warfare ships,Mk. IV LCU,Not documented,Not documented,Not documented,in_service,Follow-on of the Mk. III LCU class.,not_independently_verified,[],2026-09-15,2021,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Follow-on of the Mk. III LCU class.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,4,17,2026-09-15T03:49:19Z,"{""Amphibious transport dock (1) | Boat"": ""INS LCU 58"", ""Amphibious transport dock (1) | Class"": ""Mk. IV LCU"", ""Amphibious transport dock (1) | Comm."": ""2021"", ""Amphibious transport dock (1) | Disp. (t)"": ""830"", ""Amphibious transport dock (1) | Homeport"": ""Sri Vijaya Puram"", ""Amphibious transport dock (1) | Image"": """", ""Amphibious transport dock (1) | No."": ""L58"", ""Amphibious transport dock (1) | Note"": ""Follow-on of the Mk. III LCU class."", ""Amphibious transport dock (1) | Origin"": ""India""}"
eq_99946dc95d87398682ea,Indian Navy,ships and submarines,Destroyers,Visakhapatnam class,Not documented,Not documented,Not documented,in_service,Upgraded derivative of the Kolkata-class destroyers.,not_independently_verified,[],2026-09-15,2021,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Upgraded derivative of the Kolkata-class destroyers.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,1,2026-09-15T03:49:19Z,"{""Destroyer (13) | Boat"": ""INS Visakhapatnam"", ""Destroyer (13) | Class"": ""Visakhapatnam class"", ""Destroyer (13) | Comm."": ""2021"", ""Destroyer (13) | Disp. (t)"": ""7400"", ""Destroyer (13) | Homeport"": ""Mumbai"", ""Destroyer (13) | Image"": """", ""Destroyer (13) | No."": ""D66"", ""Destroyer (13) | Note"": ""Upgraded derivative of the Kolkata-class destroyers."", ""Destroyer (13) | Origin"": ""India""}"
eq_aec16cabde1fe49910ab,Indian Navy,ships and submarines,Destroyers,Visakhapatnam class,Not documented,Not documented,Not documented,in_service,Upgraded derivative of the Kolkata-class destroyers.,not_independently_verified,[],2026-09-15,2022,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Upgraded derivative of the Kolkata-class destroyers.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,2,2026-09-15T03:49:19Z,"{""Destroyer (13) | Boat"": ""INS Mormugao"", ""Destroyer (13) | Class"": ""Visakhapatnam class"", ""Destroyer (13) | Comm."": ""2022"", ""Destroyer (13) | Disp. (t)"": ""7400"", ""Destroyer (13) | Homeport"": ""Karwar"", ""Destroyer (13) | Image"": """", ""Destroyer (13) | No."": ""D67"", ""Destroyer (13) | Note"": ""Upgraded derivative of the Kolkata-class destroyers."", ""Destroyer (13) | Origin"": ""India""}"
eq_230a59eb2810056fc04c,Indian Navy,ships and submarines,Destroyers,Visakhapatnam class,Not documented,Not documented,Not documented,in_service,Upgraded derivative of the Kolkata-class destroyers.,not_independently_verified,[],2026-09-15,2023,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Upgraded derivative of the Kolkata-class destroyers.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,3,2026-09-15T03:49:19Z,"{""Destroyer (13) | Boat"": ""INS Imphal"", ""Destroyer (13) | Class"": ""Visakhapatnam class"", ""Destroyer (13) | Comm."": ""2023"", ""Destroyer (13) | Disp. (t)"": ""7400"", ""Destroyer (13) | Homeport"": ""Mumbai"", ""Destroyer (13) | Image"": """", ""Destroyer (13) | No."": ""D68"", ""Destroyer (13) | Note"": ""Upgraded derivative of the Kolkata-class destroyers."", ""Destroyer (13) | Origin"": ""India""}"
eq_31a5079e339b206da76c,Indian Navy,ships and submarines,Destroyers,Visakhapatnam class,Not documented,Not documented,Not documented,in_service,Upgraded derivative of the Kolkata-class destroyers.,not_independently_verified,[],2026-09-15,2025,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Upgraded derivative of the Kolkata-class destroyers.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,4,2026-09-15T03:49:19Z,"{""Destroyer (13) | Boat"": ""INS Surat"", ""Destroyer (13) | Class"": ""Visakhapatnam class"", ""Destroyer (13) | Comm."": ""2025"", ""Destroyer (13) | Disp. (t)"": ""7400"", ""Destroyer (13) | Homeport"": ""Mumbai"", ""Destroyer (13) | Image"": """", ""Destroyer (13) | No."": ""D69"", ""Destroyer (13) | Note"": ""Upgraded derivative of the Kolkata-class destroyers."", ""Destroyer (13) | Origin"": ""India""}"
eq_79545544863c563ee4cd,Indian Navy,ships and submarines,Destroyers,Kolkata class,Not documented,Not documented,Not documented,in_service,Upgraded derivative of Delhi-class destroyers.,not_independently_verified,[],2026-09-15,2014,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Upgraded derivative of Delhi-class destroyers.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,5,2026-09-15T03:49:19Z,"{""Destroyer (13) | Boat"": ""INS Kolkata"", ""Destroyer (13) | Class"": ""Kolkata class"", ""Destroyer (13) | Comm."": ""2014"", ""Destroyer (13) | Disp. (t)"": ""7400"", ""Destroyer (13) | Homeport"": ""Mumbai"", ""Destroyer (13) | Image"": """", ""Destroyer (13) | No."": ""D63"", ""Destroyer (13) | Note"": ""Upgraded derivative of Delhi-class destroyers."", ""Destroyer (13) | Origin"": ""India""}"
eq_c450bd848b4851e65ad5,Indian Navy,ships and submarines,Destroyers,Kolkata class,Not documented,Not documented,Not documented,in_service,Upgraded derivative of Delhi-class destroyers.,not_independently_verified,[],2026-09-15,2015,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Upgraded derivative of Delhi-class destroyers.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,6,2026-09-15T03:49:19Z,"{""Destroyer (13) | Boat"": ""INS Kochi"", ""Destroyer (13) | Class"": ""Kolkata class"", ""Destroyer (13) | Comm."": ""2015"", ""Destroyer (13) | Disp. (t)"": ""7400"", ""Destroyer (13) | Homeport"": ""Mumbai"", ""Destroyer (13) | Image"": """", ""Destroyer (13) | No."": ""D64"", ""Destroyer (13) | Note"": ""Upgraded derivative of Delhi-class destroyers."", ""Destroyer (13) | Origin"": ""India""}"
eq_3138fce2ea4da62979fe,Indian Navy,ships and submarines,Destroyers,Kolkata class,Not documented,Not documented,Not documented,in_service,Upgraded derivative of Delhi-class destroyers.,not_independently_verified,[],2026-09-15,2016,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Upgraded derivative of Delhi-class destroyers.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,7,2026-09-15T03:49:19Z,"{""Destroyer (13) | Boat"": ""INS Chennai"", ""Destroyer (13) | Class"": ""Kolkata class"", ""Destroyer (13) | Comm."": ""2016"", ""Destroyer (13) | Disp. (t)"": ""7400"", ""Destroyer (13) | Homeport"": ""Karwar"", ""Destroyer (13) | Image"": """", ""Destroyer (13) | No."": ""D65"", ""Destroyer (13) | Note"": ""Upgraded derivative of Delhi-class destroyers."", ""Destroyer (13) | Origin"": ""India""}"
eq_107a6d614ab0af7db4e5,Indian Navy,ships and submarines,Destroyers,Delhi class,Not documented,Not documented,Not documented,in_service,First class of indigenously-built destroyers.,not_independently_verified,[],2026-09-15,1997,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,First class of indigenously-built destroyers.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,8,2026-09-15T03:49:19Z,"{""Destroyer (13) | Boat"": ""INS Delhi"", ""Destroyer (13) | Class"": ""Delhi class"", ""Destroyer (13) | Comm."": ""1997"", ""Destroyer (13) | Disp. (t)"": ""6200"", ""Destroyer (13) | Homeport"": ""Visakhapatnam"", ""Destroyer (13) | Image"": """", ""Destroyer (13) | No."": ""D61"", ""Destroyer (13) | Note"": ""First class of indigenously-built destroyers."", ""Destroyer (13) | Origin"": ""India""}"
eq_12eda03bb2d52d8af8eb,Indian Navy,ships and submarines,Destroyers,Delhi class,Not documented,Not documented,Not documented,in_service,First class of indigenously-built destroyers.,not_independently_verified,[],2026-09-15,1999,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,First class of indigenously-built destroyers.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,9,2026-09-15T03:49:19Z,"{""Destroyer (13) | Boat"": ""INS Mysore"", ""Destroyer (13) | Class"": ""Delhi class"", ""Destroyer (13) | Comm."": ""1999"", ""Destroyer (13) | Disp. (t)"": ""6200"", ""Destroyer (13) | Homeport"": ""Visakhapatnam"", ""Destroyer (13) | Image"": """", ""Destroyer (13) | No."": ""D60"", ""Destroyer (13) | Note"": ""First class of indigenously-built destroyers."", ""Destroyer (13) | Origin"": ""India""}"
eq_c7186bafbb8e1e1d5c54,Indian Navy,ships and submarines,Destroyers,Delhi class,Not documented,Not documented,Not documented,in_service,First class of indigenously-built destroyers.,not_independently_verified,[],2026-09-15,2001,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,First class of indigenously-built destroyers.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,10,2026-09-15T03:49:19Z,"{""Destroyer (13) | Boat"": ""INS Mumbai"", ""Destroyer (13) | Class"": ""Delhi class"", ""Destroyer (13) | Comm."": ""2001"", ""Destroyer (13) | Disp. (t)"": ""6200"", ""Destroyer (13) | Homeport"": ""Visakhapatnam"", ""Destroyer (13) | Image"": """", ""Destroyer (13) | No."": ""D62"", ""Destroyer (13) | Note"": ""First class of indigenously-built destroyers."", ""Destroyer (13) | Origin"": ""India""}"
eq_a2241fdd6a8ab7de1e65,Indian Navy,ships and submarines,Destroyers,Rajput class,Not documented,Not documented,Not documented,in_service,Indian-derivative of the Kashin class destroyers.,not_independently_verified,[],2026-09-15,1982,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Soviet Union,Not documented,Indian-derivative of the Kashin class destroyers.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,11,2026-09-15T03:49:19Z,"{""Destroyer (13) | Boat"": ""INS Rana"", ""Destroyer (13) | Class"": ""Rajput class"", ""Destroyer (13) | Comm."": ""1982"", ""Destroyer (13) | Disp. (t)"": ""4974"", ""Destroyer (13) | Homeport"": ""Visakhapatnam"", ""Destroyer (13) | Image"": """", ""Destroyer (13) | No."": ""D52"", ""Destroyer (13) | Note"": ""Indian-derivative of the Kashin class destroyers."", ""Destroyer (13) | Origin"": ""Soviet Union""}"
eq_50c75bc0f40367c8d7b0,Indian Navy,ships and submarines,Destroyers,Rajput class,Not documented,Not documented,Not documented,in_service,Indian-derivative of the Kashin class destroyers.,not_independently_verified,[],2026-09-15,1986,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Soviet Union,Not documented,Indian-derivative of the Kashin class destroyers.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,12,2026-09-15T03:49:19Z,"{""Destroyer (13) | Boat"": ""INS Ranvir"", ""Destroyer (13) | Class"": ""Rajput class"", ""Destroyer (13) | Comm."": ""1986"", ""Destroyer (13) | Disp. (t)"": ""4974"", ""Destroyer (13) | Homeport"": ""Visakhapatnam"", ""Destroyer (13) | Image"": """", ""Destroyer (13) | No."": ""D54"", ""Destroyer (13) | Note"": ""Indian-derivative of the Kashin class destroyers."", ""Destroyer (13) | Origin"": ""Soviet Union""}"
eq_60ef26528fbfac421791,Indian Navy,ships and submarines,Destroyers,Rajput class,Not documented,Not documented,Not documented,in_service,Indian-derivative of the Kashin class destroyers.,not_independently_verified,[],2026-09-15,1987,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Soviet Union,Not documented,Indian-derivative of the Kashin class destroyers.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,5,13,2026-09-15T03:49:19Z,"{""Destroyer (13) | Boat"": ""INS Ranvijay"", ""Destroyer (13) | Class"": ""Rajput class"", ""Destroyer (13) | Comm."": ""1987"", ""Destroyer (13) | Disp. (t)"": ""4974"", ""Destroyer (13) | Homeport"": ""Visakhapatnam"", ""Destroyer (13) | Image"": """", ""Destroyer (13) | No."": ""D55"", ""Destroyer (13) | Note"": ""Indian-derivative of the Kashin class destroyers."", ""Destroyer (13) | Origin"": ""Soviet Union""}"
eq_d93b56d09980b7be34cf,Indian Navy,ships and submarines,Frigates,Nilgiri class,Not documented,Not documented,Not documented,in_service,Upgraded derivative of Shivalik class frigates.,not_independently_verified,[],2026-09-15,2025,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Upgraded derivative of Shivalik class frigates.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,1,2026-09-15T03:49:19Z,"{""Frigate (20) | Boat"": ""INS Nilgiri"", ""Frigate (20) | Class"": ""Nilgiri class"", ""Frigate (20) | Comm."": ""2025"", ""Frigate (20) | Disp. (t)"": ""6670"", ""Frigate (20) | Homeport"": ""Visakhapatnam"", ""Frigate (20) | Image"": """", ""Frigate (20) | No."": ""F33"", ""Frigate (20) | Note"": ""Upgraded derivative of Shivalik class frigates."", ""Frigate (20) | Origin"": ""India""}"
eq_853966416478117988ac,Indian Navy,ships and submarines,Frigates,Nilgiri class,Not documented,Not documented,Not documented,in_service,Upgraded derivative of Shivalik class frigates.,not_independently_verified,[],2026-09-15,2025,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Upgraded derivative of Shivalik class frigates.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,2,2026-09-15T03:49:19Z,"{""Frigate (20) | Boat"": ""INS Himgiri"", ""Frigate (20) | Class"": ""Nilgiri class"", ""Frigate (20) | Comm."": ""2025"", ""Frigate (20) | Disp. (t)"": ""6670"", ""Frigate (20) | Homeport"": ""Visakhapatnam"", ""Frigate (20) | Image"": """", ""Frigate (20) | No."": ""F34"", ""Frigate (20) | Note"": ""Upgraded derivative of Shivalik class frigates."", ""Frigate (20) | Origin"": ""India""}"
eq_0cd3f9fffc61dea5a98d,Indian Navy,ships and submarines,Frigates,Nilgiri class,Not documented,Not documented,Not documented,in_service,Upgraded derivative of Shivalik class frigates.,not_independently_verified,[],2026-09-15,2025,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Upgraded derivative of Shivalik class frigates.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,3,2026-09-15T03:49:19Z,"{""Frigate (20) | Boat"": ""INS Udaygiri"", ""Frigate (20) | Class"": ""Nilgiri class"", ""Frigate (20) | Comm."": ""2025"", ""Frigate (20) | Disp. (t)"": ""6670"", ""Frigate (20) | Homeport"": ""Visakhapatnam"", ""Frigate (20) | Image"": """", ""Frigate (20) | No."": ""F35"", ""Frigate (20) | Note"": ""Upgraded derivative of Shivalik class frigates."", ""Frigate (20) | Origin"": ""India""}"
eq_77c6836edc9c95fd7c1a,Indian Navy,ships and submarines,Frigates,Nilgiri class,Not documented,Not documented,Not documented,in_service,Upgraded derivative of Shivalik class frigates.,not_independently_verified,[],2026-09-15,2026,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Upgraded derivative of Shivalik class frigates.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,4,2026-09-15T03:49:19Z,"{""Frigate (20) | Boat"": ""INS Taragiri"", ""Frigate (20) | Class"": ""Nilgiri class"", ""Frigate (20) | Comm."": ""2026"", ""Frigate (20) | Disp. (t)"": ""6670"", ""Frigate (20) | Homeport"": ""Visakhapatnam"", ""Frigate (20) | Image"": """", ""Frigate (20) | No."": ""F41"", ""Frigate (20) | Note"": ""Upgraded derivative of Shivalik class frigates."", ""Frigate (20) | Origin"": ""India""}"
eq_356587275cd25da21e07,Indian Navy,ships and submarines,Frigates,Nilgiri class,Not documented,Not documented,Not documented,in_service,Upgraded derivative of Shivalik class frigates.,not_independently_verified,[],2026-09-15,2026,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Upgraded derivative of Shivalik class frigates.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,5,2026-09-15T03:49:19Z,"{""Frigate (20) | Boat"": ""INS Dunagiri"", ""Frigate (20) | Class"": ""Nilgiri class"", ""Frigate (20) | Comm."": ""2026"", ""Frigate (20) | Disp. (t)"": ""6670"", ""Frigate (20) | Homeport"": ""Visakhapatnam"", ""Frigate (20) | Image"": """", ""Frigate (20) | No."": ""F36"", ""Frigate (20) | Note"": ""Upgraded derivative of Shivalik class frigates."", ""Frigate (20) | Origin"": ""India""}"
eq_4d92037a0b8184a0ea23,Indian Navy,ships and submarines,Frigates,Nilgiri class,Not documented,Not documented,Not documented,in_service,Upgraded derivative of Shivalik class frigates.,not_independently_verified,[],2026-09-15,2026,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Upgraded derivative of Shivalik class frigates.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,6,2026-09-15T03:49:19Z,"{""Frigate (20) | Boat"": ""INS Mahendragiri"", ""Frigate (20) | Class"": ""Nilgiri class"", ""Frigate (20) | Comm."": ""2026"", ""Frigate (20) | Disp. (t)"": ""6670"", ""Frigate (20) | Homeport"": ""Visakhapatnam"", ""Frigate (20) | Image"": """", ""Frigate (20) | No."": ""F38"", ""Frigate (20) | Note"": ""Upgraded derivative of Shivalik class frigates."", ""Frigate (20) | Origin"": ""India""}"
eq_87e5e6db92db9cdb19df,Indian Navy,ships and submarines,Frigates,Shivalik class,Not documented,Not documented,Not documented,in_service,Indigenously-built frigates with low observability.,not_independently_verified,[],2026-09-15,2010,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Indigenously-built frigates with low observability.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,7,2026-09-15T03:49:19Z,"{""Frigate (20) | Boat"": ""INS Shivalik"", ""Frigate (20) | Class"": ""Shivalik class"", ""Frigate (20) | Comm."": ""2010"", ""Frigate (20) | Disp. (t)"": ""6200"", ""Frigate (20) | Homeport"": ""Visakhapatnam"", ""Frigate (20) | Image"": """", ""Frigate (20) | No."": ""F47"", ""Frigate (20) | Note"": ""Indigenously-built frigates with low observability."", ""Frigate (20) | Origin"": ""India""}"
eq_940bb9e2c7b6bdd911a2,Indian Navy,ships and submarines,Frigates,Shivalik class,Not documented,Not documented,Not documented,in_service,Indigenously-built frigates with low observability.,not_independently_verified,[],2026-09-15,2011,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Indigenously-built frigates with low observability.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,8,2026-09-15T03:49:19Z,"{""Frigate (20) | Boat"": ""INS Satpura"", ""Frigate (20) | Class"": ""Shivalik class"", ""Frigate (20) | Comm."": ""2011"", ""Frigate (20) | Disp. (t)"": ""6200"", ""Frigate (20) | Homeport"": ""Visakhapatnam"", ""Frigate (20) | Image"": """", ""Frigate (20) | No."": ""F48"", ""Frigate (20) | Note"": ""Indigenously-built frigates with low observability."", ""Frigate (20) | Origin"": ""India""}"
eq_39f4eb78b64a35d6fa60,Indian Navy,ships and submarines,Frigates,Shivalik class,Not documented,Not documented,Not documented,in_service,Indigenously-built frigates with low observability.,not_independently_verified,[],2026-09-15,2012,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Indigenously-built frigates with low observability.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,9,2026-09-15T03:49:19Z,"{""Frigate (20) | Boat"": ""INS Sahyadri"", ""Frigate (20) | Class"": ""Shivalik class"", ""Frigate (20) | Comm."": ""2012"", ""Frigate (20) | Disp. (t)"": ""6200"", ""Frigate (20) | Homeport"": ""Visakhapatnam"", ""Frigate (20) | Image"": """", ""Frigate (20) | No."": ""F49"", ""Frigate (20) | Note"": ""Indigenously-built frigates with low observability."", ""Frigate (20) | Origin"": ""India""}"
eq_a60459752b87ce1fea39,Indian Navy,ships and submarines,Frigates,Talwar class,Not documented,Not documented,Not documented,in_service,Improved derivative of the Krivak-III frigate.,official_claim_available,"[""https://www.pib.gov.in/PressReleasePage.aspx?PRID=2141361&lang=2&reg=48""]",2026-09-15,2003,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Russia,Not documented,Improved derivative of the Krivak-III frigate.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,10,2026-09-15T03:49:19Z,"{""Frigate (20) | Boat"": ""INS Talwar"", ""Frigate (20) | Class"": ""Talwar class"", ""Frigate (20) | Comm."": ""2003"", ""Frigate (20) | Disp. (t)"": ""4035"", ""Frigate (20) | Homeport"": ""Mumbai"", ""Frigate (20) | Image"": """", ""Frigate (20) | No."": ""F40"", ""Frigate (20) | Note"": ""Improved derivative of the Krivak-III frigate."", ""Frigate (20) | Origin"": ""Russia""}"
eq_7fd9fc5d627e673e57bc,Indian Navy,ships and submarines,Frigates,Talwar class,Not documented,Not documented,Not documented,in_service,Improved derivative of the Krivak-III frigate.,official_claim_available,"[""https://www.pib.gov.in/PressReleasePage.aspx?PRID=2141361&lang=2&reg=48""]",2026-09-15,2003,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Russia,Not documented,Improved derivative of the Krivak-III frigate.,navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,6,11,2026-09-15T03:49:19Z,"{""Frigate (20) | Boat"": ""INS Trishul"", ""Frigate (20) | Class"": ""Talwar class"", ""Frigate (20) | Comm."": ""2003"", ""Frigate (20) | Disp. (t)"": ""4035"", ""Frigate (20) | Homeport"": ""Mumbai"", ""Frigate (20) | Image"": """", ""Frigate (20) | No."": ""F43"", ""Frigate (20) | Note"": ""Improved derivative of the Krivak-III frigate."", ""Frigate (20) | Origin"": ""Russia""}"
