record_id,branch,domain,category,system_name,designation,variant,role_purpose,status,source_status,verification_status,verification_sources,status_as_of,commissioned_or_inducted_date,retired_or_decommissioned_date,quantity,quantity_min,quantity_max,quantity_raw,quantity_values,specifications,dimensions,make_manufacturer,country_of_origin,operators,notes,source_key,source_url,source_table,source_row,retrieved_at,raw_record
eq_a058eecf0310e15fcc27,Indian Army,land equipment and weapons,Armoured combat vehicles,DRDO Prahaar 510,Not documented,Not documented,Armoured personnel carrier,in_service,Status: In service.,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Unknown,[],Not documented,Not documented,Not documented,India,Not documented,Status: In service.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,25,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""DRDO Prahaar 510"", ""Notes | Tanks"": ""Status: In service."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": ""Unknown"", ""Type | Tanks"": ""Armoured personnel carrier""}"
eq_cf3bec55491aeb949979,Indian Army,land equipment and weapons,Utility and staff transport,Force Gurkha 4×4 (Dhwansak),Not documented,Not documented,Light utility vehicle,in_service_and_on_order,"Status: In Service, was ordered in 2018. Further 2,978 units of Light Strike Vehicle (LSV) variant ordered on 27 March 2025. To be used by the Indian Air Force also. Payload: 800 kg; Soft Top model.",not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,"Status: In Service, was ordered in 2018. Further 2,978 units of Light Strike Vehicle (LSV) variant ordered on 27 March 2025. To be used by the Indian Air Force also. Payload: 800 kg; Soft Top model.",army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,1,2026-09-15T03:49:19Z,"{""Image"": """", ""Name"": ""Force Gurkha 4×4 (Dhwansak)"", ""Notes"": ""Status: In Service, was ordered in 2018. Further 2,978 units of Light Strike Vehicle (LSV) variant ordered on 27 March 2025. To be used by the Indian Air Force also. Payload: 800 kg; Soft Top model."", ""Origin"": ""India"", ""Quantity"": """", ""Type"": ""Light utility vehicle""}"
eq_6974ad114c48a7edea4b,Indian Army,land equipment and weapons,Utility and staff transport,Tata Safari Storme,Not documented,Not documented,Light utility vehicle,in_service_and_on_order,Status:In Service. 3193 units ordered in May 2017. GS800 category. To replace Maruti Suzuki Gypsy.,not_independently_verified,[],2026-09-15,Not documented,Not documented,1300,1300,1300,"1,300",[1300],Not documented,Not documented,Not documented,India,Not documented,Status:In Service. 3193 units ordered in May 2017. GS800 category. To replace Maruti Suzuki Gypsy.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,2,2026-09-15T03:49:19Z,"{""Image"": """", ""Name"": ""Tata Safari Storme"", ""Notes"": ""Status:In Service. 3193 units ordered in May 2017. GS800 category. To replace Maruti Suzuki Gypsy."", ""Origin"": ""India"", ""Quantity"": ""1,300"", ""Type"": ""Light utility vehicle""}"
eq_2e426cbebe3442206ffd,Indian Army,land equipment and weapons,Utility and staff transport,Tata Xenon,Not documented,Not documented,Light utility vehicle,in_service,Status: In service.,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Status: In service.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,3,2026-09-15T03:49:19Z,"{""Image"": """", ""Name"": ""Tata Xenon"", ""Notes"": ""Status: In service."", ""Origin"": ""India"", ""Quantity"": """", ""Type"": ""Light utility vehicle""}"
eq_ec4860ff1be4be774215,Indian Army,land equipment and weapons,Utility and staff transport,Royal Enfield Bullet,Not documented,Not documented,Light 2-person transport vehicle,in_service,Status: In service.,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Status: In service.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,4,2026-09-15T03:49:19Z,"{""Image"": """", ""Name"": ""Royal Enfield Bullet"", ""Notes"": ""Status: In service."", ""Origin"": ""India"", ""Quantity"": """", ""Type"": ""Light 2-person transport vehicle""}"
eq_a36d5dcb9690fd857fd8,Indian Army,land equipment and weapons,Utility and staff transport,Tata Sumo,Not documented,Not documented,Light utility vehicle,in_service,Status: In service.,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Status: In service.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,5,2026-09-15T03:49:19Z,"{""Image"": """", ""Name"": ""Tata Sumo"", ""Notes"": ""Status: In service."", ""Origin"": ""India"", ""Quantity"": """", ""Type"": ""Light utility vehicle""}"
eq_88daa6ef2b7299e092ae,Indian Army,land equipment and weapons,Utility and staff transport,Toyota Hilux,Not documented,Not documented,Light utility vehicle,in_service,Status: In Service with Northern Command.,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Japan India,Not documented,Status: In Service with Northern Command.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,6,2026-09-15T03:49:19Z,"{""Image"": """", ""Name"": ""Toyota Hilux"", ""Notes"": ""Status: In Service with Northern Command."", ""Origin"": ""Japan India"", ""Quantity"": """", ""Type"": ""Light utility vehicle""}"
eq_d40f92e1c848ff1b7aa3,Indian Army,land equipment and weapons,Utility and staff transport,Mahindra Scorpio,Not documented,Not documented,Light utility vehicle,in_service,Status: Armored version in service.,not_independently_verified,[],2026-09-15,Not documented,Not documented,3300,3300,3300,3300,[3300],Not documented,Not documented,Not documented,India,Not documented,Status: Armored version in service.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,7,2026-09-15T03:49:19Z,"{""Image"": """", ""Name"": ""Mahindra Scorpio"", ""Notes"": ""Status: Armored version in service."", ""Origin"": ""India"", ""Quantity"": ""3300"", ""Type"": ""Light utility vehicle""}"
eq_4d1acc14b55a9114e641,Indian Army,land equipment and weapons,Utility and staff transport,Mahindra Scorpio Pik-up,Not documented,Not documented,Pickup truck,on_order,"Status: On order. 1,986 units ordered on 27 May 2025. Payload: 800 kg.",not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,"Status: On order. 1,986 units ordered on 27 May 2025. Payload: 800 kg.",army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,8,2026-09-15T03:49:19Z,"{""Image"": """", ""Name"": ""Mahindra Scorpio Pik-up"", ""Notes"": ""Status: On order. 1,986 units ordered on 27 May 2025. Payload: 800 kg."", ""Origin"": ""India"", ""Quantity"": """", ""Type"": ""Pickup truck""}"
eq_40dab71c4edae30461bc,Indian Army,land equipment and weapons,Utility and staff transport,Mahindra 550,Not documented,Not documented,Light utility vehicle,in_service,Status: In service. Used as troop carrier,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Status: In service. Used as troop carrier,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,2,9,2026-09-15T03:49:19Z,"{""Image"": """", ""Name"": ""Mahindra 550"", ""Notes"": ""Status: In service. Used as troop carrier"", ""Origin"": ""India"", ""Quantity"": """", ""Type"": ""Light utility vehicle""}"
